,Loan_ID,Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
0,1,1,0,0,0,5849,0,0,360,2,1
1,2,1,1,1,0,4583,1508,128,360,1,0
2,3,1,1,0,1,3000,0,66,360,2,1
3,4,1,1,0,0,2583,2358,120,360,2,1
4,5,1,0,0,0,6000,0,141,360,2,1
5,6,1,1,2,1,5417,4196,267,360,2,1
6,9,1,1,2,0,4006,1526,168,360,2,1
7,10,1,1,1,0,12841,10968,349,360,0,0
8,11,1,1,2,0,3200,700,70,360,2,1
9,12,1,1,2,1,2500,1840,109,360,2,1
10,14,1,0,0,0,1853,2840,114,360,1,0
11,15,1,1,2,0,1299,1086,17,120,2,1
12,16,1,0,0,0,4950,0,125,360,2,1
13,17,1,0,1,0,3596,0,100,240,2,1
14,18,0,0,0,0,3510,0,76,360,2,0
15,19,1,1,0,0,4887,0,133,360,1,0
16,21,1,1,0,0,7660,0,104,360,2,0
17,23,1,1,0,0,2600,1911,116,360,0,0
18,24,1,1,2,0,3365,1917,112,360,1,0
19,25,1,1,1,1,3717,2925,151,360,0,0
20,27,1,1,0,0,2799,2253,122,360,0,1
21,28,1,1,2,0,4226,1040,110,360,2,1
22,31,1,1,1,1,4166,3369,201,360,2,0
23,32,1,0,0,0,3167,0,74,360,2,0
24,33,1,0,1,1,4692,0,106,360,1,0
25,34,1,1,0,0,3500,1667,114,360,0,1
26,35,1,0,3,0,12500,3000,320,360,1,0
27,37,1,1,0,0,1828,1330,100,0,2,0
28,38,0,1,0,0,3667,1459,144,360,0,1
29,39,1,0,0,0,4166,7210,184,360,2,1
30,41,1,0,0,0,3600,0,80,360,2,0
31,43,1,1,0,0,2400,0,75,360,2,1
32,44,1,1,0,0,3941,2336,134,360,0,1
33,45,1,1,0,1,4695,0,96,0,2,1
34,46,0,0,0,0,3410,0,88,0,2,1
35,48,1,1,0,0,5821,0,144,360,2,1
36,49,0,1,0,0,2645,3440,120,360,2,0
37,52,0,0,0,0,3086,0,120,360,0,1
38,53,0,0,0,0,4230,0,112,360,0,0
39,56,1,1,2,0,2708,1167,97,360,0,1
40,57,1,1,0,0,2132,1591,96,360,0,1
41,58,1,1,0,0,3366,2200,135,360,1,0
42,59,1,1,1,0,8080,2250,180,360,2,1
43,60,1,1,2,0,3357,2859,144,360,2,1
44,62,1,1,3,0,3029,0,99,360,2,1
45,63,1,1,0,1,2609,3449,165,180,1,0
46,68,1,1,1,0,10750,0,312,360,2,1
47,69,1,1,3,1,7100,0,125,60,2,1
48,71,1,1,0,0,3208,3066,172,360,2,1
49,72,1,1,2,1,1875,1875,97,360,0,1
50,73,1,0,0,0,3500,0,81,300,0,1
51,74,1,1,3,0,4755,0,95,0,0,0
52,75,1,1,3,1,5266,1774,187,360,0,1
53,78,1,1,1,1,1000,3022,110,360,2,0
54,79,1,1,3,0,3167,4000,180,300,0,0
55,80,1,1,3,1,3333,2166,130,360,0,1
56,81,0,0,0,0,3846,0,111,360,0,1
57,82,1,1,1,1,2395,0,0,360,0,1
58,83,0,1,2,0,1378,1881,167,360,2,0
59,84,1,1,0,0,6000,2250,265,360,0,0
60,85,1,1,1,0,3988,0,50,240,2,1
61,86,1,0,0,0,2366,2531,136,360,0,1
62,89,1,0,0,0,8566,0,210,360,2,1
63,90,1,1,0,0,5695,4167,175,360,0,1
64,91,1,1,0,0,2958,2900,131,360,0,1
65,92,1,1,2,0,6250,5654,188,180,0,1
66,95,1,0,0,0,3620,0,25,120,0,1
67,96,1,0,0,1,6782,0,0,360,2,0
68,97,0,1,0,0,2484,2302,137,360,0,1
69,98,1,1,0,0,1977,997,50,360,0,1
70,99,1,1,0,0,4188,0,115,180,0,1
71,101,1,1,2,0,4288,3263,133,180,2,1
72,102,1,0,0,0,4843,3806,151,360,0,1
73,105,1,1,3,0,3816,754,160,360,2,1
74,106,1,1,1,0,3052,1030,100,360,2,1
75,108,1,0,0,1,7333,0,120,360,1,0
76,109,1,1,2,0,3800,3600,216,360,2,0
77,110,1,1,3,0,2071,754,94,480,0,1
78,111,1,0,0,0,5316,0,136,360,2,1
79,113,1,1,0,0,3572,4114,152,0,1,0
80,114,0,0,1,1,7451,0,0,360,0,1
81,115,1,0,0,1,5050,0,118,360,0,1
82,116,1,1,1,0,14583,0,185,180,1,1
83,118,1,1,1,0,2214,1398,85,360,2,1
84,119,1,1,0,0,5568,2142,175,360,1,0
85,120,0,0,0,0,10408,0,259,360,2,1
86,121,1,1,3,0,5667,2667,180,360,1,1
87,122,0,0,0,0,4166,0,44,360,0,1
88,123,0,0,0,0,2137,8980,137,360,0,1
89,125,1,1,0,0,4300,2014,194,360,1,1
90,126,0,0,0,0,3692,0,93,360,1,1
91,127,1,1,3,0,23803,0,370,360,1,1
92,128,1,0,0,0,3865,1640,0,360,1,1
